,CONJUNTO,VIZINHOS,AMOSTRAS,PORCENTAGEM,CUSTO,GAP,TIME,PESOS,CAPACIDADES
0,HP1,1t,1.0,0.8,3139.4,0.08150965476887063,0.02684998512268062,28.0,4.0
1,HP1,2t,1.0,0.8000000000000002,3212.3333333333335,0.0601716403354788,0.4518108367919922,28.0,4.0
2,HP1,3t,1.0,0.8000000000000002,3273.6666666666665,0.042227423444509395,8.407223145167032,28.0,4.0
3,HP2,1t,1.0,0.8,2754.6,0.13540489642184553,0.02441115379333492,35.0,4.0
4,HP2,2t,1.0,0.8000000000000002,2860.3333333333335,0.1022180372462858,0.45350829760233563,35.0,4.0
5,HP2,3t,1.0,0.8000000000000002,3100.3333333333335,0.026888470391295164,18.272719621658325,35.0,4.0
6,PB1,1t,1.0,0.8,2545.4,0.1762459546925566,0.03064680099487298,27.0,4.0
7,PB1,2t,1.0,0.8000000000000002,2965.0,0.04045307443365693,0.47269630432128906,27.0,4.0
8,PB1,3t,1.0,0.8000000000000002,2984.6666666666665,0.034088457389428235,10.418302059173584,27.0,4.0
9,PB2,1t,1.0,0.8,2686.2,0.15687382297551783,0.026208066940307577,34.0,4.0
10,PB2,2t,1.0,0.8000000000000002,2983.0,0.06371625863151283,0.6325457096099854,34.0,4.0
11,PB2,3t,1.0,0.8000000000000002,3114.0,0.022598870056497102,14.445927460988363,34.0,4.0
12,PB4,1t,1.0,0.8,72013.4,0.2433023705447209,0.023068189620971617,29.0,2.0
13,PB4,2t,1.0,0.8000000000000002,89991.66666666667,0.054391532167675366,0.37226343154907227,29.0,2.0
14,PB4,3t,1.0,0.8000000000000002,92068.66666666667,0.032566969289396966,8.9280366897583,29.0,2.0
15,PB5,1t,1.0,0.8,1735.8,0.1884992987377279,0.00920481681823726,20.0,10.0
16,PB5,2t,1.0,0.8000000000000002,2067.0,0.0336605890603085,0.2387092113494873,20.0,10.0
17,PB5,3t,1.0,0.8000000000000002,2088.6666666666665,0.023531245130123068,2.8070216178894043,20.0,10.0
18,PB6,1t,1.0,0.8,364.6,0.5301546391752577,0.01773762702941888,40.0,30.0
19,PB6,2t,1.0,0.8000000000000002,603.6666666666666,0.22207903780068725,0.5700422922770182,40.0,30.0
20,PB6,3t,1.0,0.8000000000000002,732.3333333333334,0.05627147766323017,18.800732533137005,40.0,30.0
21,PB7,1t,1.0,0.8,716.0,0.3082125603864734,0.02086381912231442,37.0,30.0
22,PB7,2t,1.0,0.8000000000000002,1017.0,0.01739130434782603,0.7272938092549642,37.0,30.0
23,PB7,3t,1.0,0.8000000000000002,989.6666666666666,0.04380032206119156,18.915746053059895,37.0,30.0
24,SENTO1,1t,1.0,0.8,3133.2,0.5968605249613999,0.036502313613891516,60.0,30.0
25,SENTO1,2t,1.0,0.8000000000000002,7326.666666666667,0.0572997083547778,2.6164298057556152,60.0,30.0
26,SENTO1,3t,1.0,0.8000000000000002,7642.0,0.016726711271230033,98.67547702789307,60.0,30.0
27,SENTO2,1t,1.0,0.8,4117.4,0.5279293739967897,0.0420225620269775,60.0,30.0
28,SENTO2,2t,1.0,0.8000000000000002,8566.666666666666,0.017809370939386965,2.477890968322754,60.0,30.0
29,SENTO2,3t,1.0,0.8000000000000002,8688.333333333334,0.003859970954673933,164.95259189605713,60.0,30.0
30,WEING1,1t,1.0,0.8,104794.6,0.2582383669077988,0.02630772590637202,28.0,2.0
31,WEING1,2t,1.0,0.8000000000000002,131826.66666666666,0.06689883303368767,0.4667822519938151,28.0,2.0
32,WEING1,3t,1.0,0.8,133615.0,0.0542405753195826,8.665892362594604,28.0,2.0
33,WEING2,1t,1.0,0.8,85001.6,0.35055278378399024,0.01827197074890132,28.0,2.0
34,WEING2,2t,1.0,0.8000000000000002,105816.33333333333,0.19151965241220525,0.3757750988006592,28.0,2.0
35,WEING2,3t,1.0,0.8,119711.0,0.0853586791256312,7.626873254776001,28.0,2.0
36,WEING3,1t,1.0,0.8,51475.4,0.46198772954837625,0.01471624374389642,28.0,2.0
37,WEING3,2t,1.0,0.8000000000000002,82180.33333333333,0.141064902397302,0.29134591420491535,28.0,2.0
38,WEING3,3t,1.0,0.8,94908.0,0.0080374593685002,7.486887454986572,28.0,2.0
39,WEING4,1t,1.0,0.8,88492.2,0.25846803589833833,0.032470846176147414,28.0,2.0
40,WEING4,2t,1.0,0.8000000000000002,105336.33333333333,0.11732041752907026,0.34700743357340497,28.0,2.0
41,WEING4,3t,1.0,0.8,119337.0,0.0,7.535130739212036,28.0,2.0
42,WEING5,1t,1.0,0.8,46286.4,0.5314952022349082,0.01698637008666986,28.0,2.0
43,WEING5,2t,1.0,0.8000000000000002,83508.33333333333,0.1547397330526202,0.3369905948638916,28.0,2.0
44,WEING5,3t,1.0,0.8,95018.0,0.0382404145916838,9.720268487930298,28.0,2.0
45,WEING6,1t,1.0,0.8,78850.0,0.3963543939428737,0.01562724113464352,28.0,2.0
46,WEING6,2t,1.0,0.8000000000000002,116660.0,0.10689541658054093,0.35823822021484375,28.0,2.0
47,WEING6,3t,1.0,0.8,125360.0,0.0402915259946563,9.335585832595823,28.0,2.0
48,WEING7,1t,1.0,0.8,943312.8,0.13887707735212623,0.10258784294128413,105.0,2.0
49,WEING7,2t,1.0,0.8000000000000002,1090698.0,0.004333398755756733,7.18099840482076,105.0,2.0
50,WEING7,3t,1.0,0.8,1095264.0,0.0001652296555281,2671.5093145370483,105.0,2.0
51,WEING8,1t,1.0,0.8,201691.4,0.6769417557370511,0.045514822006225544,105.0,2.0
52,WEING8,2t,1.0,0.8000000000000002,535692.0,0.14195787730310944,5.633016268412272,105.0,2.0
53,WEING8,3t,1.0,0.8,589853.0,0.0552057521875835,1450.7994966506958,105.0,2.0
54,WEISH01,1t,1.0,0.8,2359.2,0.4819499341238472,0.013684082031249939,30.0,5.0
55,WEISH01,2t,1.0,0.8000000000000002,4356.333333333333,0.0434050651441955,0.40106821060180664,30.0,5.0
